,Surname,Forename,Votes,Elected,Description,Length of term,Turnout,Ward,Electorate
0,Anderson,Barry John,4856,ELECTED,Conservative Party Candidate,4 Years,45.2, Adel and Wharfedale,15984
1,Anderson,Caroline Helen,4269,ELECTED,Conservative Party Candidate,2 Years,45.2, Adel and Wharfedale,15984
2,Flynn,Billy,3881,ELECTED,Conservative Party Candidate,1 Year,45.2, Adel and Wharfedale,15984
3,Gill,Nigel James,1556,,Labour Party,,45.2, Adel and Wharfedale,15984
4,Jackson,Peter,977,,Liberal Democrats,,45.2, Adel and Wharfedale,15984
5,Montgomerie,Geraldine Robertshaw,1435,,Labour Party,,45.2, Adel and Wharfedale,15984
6,Rontree,Andy,1264,,Labour Party,,45.2, Adel and Wharfedale,15984
7,Swales,Liddy,591,,Green Party,,45.2, Adel and Wharfedale,15984
8,Thornley,Ed,715,,Liberal Democrats,,45.2, Adel and Wharfedale,15984
9,Trewhella,Jane Sharon,883,,Liberal Democrats,,45.2, Adel and Wharfedale,15984
10,Buckley,Neil Alan,4111,ELECTED,Conservative Party Candidate,2 Years,41.5, Alwoodley,17605
11,Cohen,Dan,4209,ELECTED,Conservative Party Candidate,4 Years,41.5, Alwoodley,17605
12,Harrand,Peter Mervyn,3896,ELECTED,Conservative Party Candidate,1 Year,41.5, Alwoodley,17605
13,Hendrickson,Claude,2141,,Labour Party,,41.5, Alwoodley,17605
14,Jackson,Brian,194,,Alliance for Green Socialism,,41.5, Alwoodley,17605
15,Khan,Mumtaz Ahmed,2019,,Labour Party,,41.5, Alwoodley,17605
16,Moss,Miriam Leontine,639,,Green Party,,41.5, Alwoodley,17605
17,Parker,Roderic,633,,Liberal Democrats,,41.5, Alwoodley,17605
18,White,Keith Michael,2389,,Labour Party,,41.5, Alwoodley,17605
19,Baldwin,Kirsty Elise,1686,,Conservative Party Candidate,,30.9, Ardsley and Robin Hood,17530
20,Carter,Emma Louise,503,,The Green Party Candidate,,30.9, Ardsley and Robin Hood,17530
21,Dunn,Jack,1694,,Independent,,30.9, Ardsley and Robin Hood,17530
22,Foster,Mike,1897,,Conservative Party Candidate,,30.9, Ardsley and Robin Hood,17530
23,Garner,Ben,2074,ELECTED,Labour and Co-operative Party,2 Years,30.9, Ardsley and Robin Hood,17530
24,Hall,George Rome,332,,Liberal Democrats,,30.9, Ardsley and Robin Hood,17530
25,Mulherin,Lisa Marie,2013,ELECTED,Labour and Co-operative Party,1 Year,30.9, Ardsley and Robin Hood,17530
26,Renshaw,Karen,2371,ELECTED,Labour and Co-operative Party,4 Years,30.9, Ardsley and Robin Hood,17530
27,Stephenson,Cameron Jake,1610,,Conservative Party Candidate,,30.9, Ardsley and Robin Hood,17530
28,Binns,Andrea Kay,732,,Green Party,,26.8, Armley,16704
